file,seg_size,orig,comp,ratio
../corpus/binary_mozilla.bin,4096,393216,272906,0.6940
../corpus/binary_mozilla.bin,16384,393216,261857,0.6659
../corpus/binary_mozilla.bin,65536,393216,251972,0.6408
../corpus/binary_mozilla.bin,262144,393216,247860,0.6303
../corpus/binary_mozilla.bin,393216,393216,247134,0.6285
../corpus/repetitive_nci.bin,4096,393216,77664,0.1975
../corpus/repetitive_nci.bin,16384,393216,52136,0.1326
../corpus/repetitive_nci.bin,65536,393216,37409,0.0951
../corpus/repetitive_nci.bin,262144,393216,31017,0.0789
../corpus/repetitive_nci.bin,393216,393216,29209,0.0743
../corpus/source_samba.bin,4096,393216,253522,0.6447
../corpus/source_samba.bin,16384,393216,220359,0.5604
../corpus/source_samba.bin,65536,393216,205888,0.5236
../corpus/source_samba.bin,262144,393216,204402,0.5198
../corpus/source_samba.bin,393216,393216,203421,0.5173
../corpus/struct_xml.bin,4096,393216,97042,0.2468
../corpus/struct_xml.bin,16384,393216,44442,0.1130
../corpus/struct_xml.bin,65536,393216,25732,0.0654
../corpus/struct_xml.bin,262144,393216,20685,0.0526
../corpus/struct_xml.bin,393216,393216,19207,0.0488
../corpus/text_dickens.bin,4096,393216,209699,0.5333
../corpus/text_dickens.bin,16384,393216,161164,0.4099
../corpus/text_dickens.bin,65536,393216,134052,0.3409
../corpus/text_dickens.bin,262144,393216,121287,0.3084
../corpus/text_dickens.bin,393216,393216,116318,0.2958
../corpus/text_reymont.bin,4096,393216,173217,0.4405
../corpus/text_reymont.bin,16384,393216,121776,0.3097
../corpus/text_reymont.bin,65536,393216,95921,0.2439
../corpus/text_reymont.bin,262144,393216,85940,0.2186
../corpus/text_reymont.bin,393216,393216,82403,0.2096
